__label__1 , 货已 收到 质量 不错 京东 服务
__label__2 , 太卡 好用
__label__1 , 爆炸 电池 损耗 7% 硬盘 小时 时间 追评
__label__2 , 下单 订单 提示 选择 赠品 选择 没收 赠品 赠品 快递 小哥 发货 发货 清单 赠品 赠品 忽悠
__label__2 , 刚买 第二天 降价 两百块 耳机 真心 华为 多个 手机 最心 手机 时间 稍微 一点 发烫 本想 想到 九百 东西 只能 备用 手机
__label__2 , 手机 电池 耐用 买来 星期
__label__1 , 
__label__2 , 想象 玩游戏 没得安卓 手机 强大 手机 触屏 反应迟钝 有时候 卡机 机身 很差 体验
__label__1 , 满意 一趟 朋友 裤子 面料 好看
__label__1 , 希望 久用 不坏
__label__1 , 家里 老人 码数 标准 挺舒服 表扬 客服 服务 热情 到位
__label__1 , 穿着 挺舒服
__label__1 , 好看 老公 喜欢 不错 推荐 朋友 购买
__label__1 , 裤子 柔软 舒适 试穿 好看 舒适 便宜 值得 购买
__label__1 , 宝贝 收到 老公 喜欢 穿着 舒服 特别
__label__1 , 外观 大小 做工 满意 段时间
__label__1 , 店家 发货 速度 裤子 质量 不错 颜色 值得 购买
__label__2 , 原以为 手劲 过大 导致 背板 翘起 网上 机子 通病 懒得 退换 再换 退货 耽误时间 发布会 功能 完美 一星 差评 收好 不谢
__label__1 , 智能手机 耐用
__label__2 , 垃圾 几次 货物 怎么回事 每次 蓝屏 难受 购物
__label__1 , 宝贝 终于 很漂亮 大小 刚刚 穿着 特别 舒服
__label__2 , 三星 垃圾 品控 京东 不负责任 糟糕 购物 手机 基本模式 蓝光 过滤 情况 下红屏 查阅 网上 评论 红屏率 50% 更高 质量 网上 评测 第三方 网站 甚少 提及 佩服 三星 舆论 打压 能力 之强 三星 给出 解决方案 软件 更新 模式 情况 模式 解决 纯白 背景 红屏 稍微 沾点 红色 场景 厉害 浓艳 溢出 屏幕 刺眼 基本模式 整体 暗红 总比自 模式 色准 附图 三星 s5 模式 体验 店里 样机 模式 三星 鸡贼 体验 店里 全是
__label__2 , 超级 不好 购物 退货 回来 产品 做生意 良心 A1 发过 A83 两者之间 价格 好评 好多 人来 再也 不到 京东 东西 后悔
__label__1 , 外观 回去 评论
__label__1 , 鞋子 收到 质量 外观 满意 政款 舒服 物流 值得 购买
__label__2 , 质量 特别 号码 差距 毛毛 线条 料子 没法 总得 上当 建议 收到 估计 穿不出
__label__2 , 卖家 手机 星期 手机 速度 不行 显示 亮度 这家
__label__1 , 官方 软件 预装 初次 开机 语音 提示 触摸板 不平 完美 出风口 屏幕
__label__1 , 
__label__2 , 两天 降价 道理 保价 时间 舒服
__label__1 , 物流 很快 昨天 下单 第二天 物品 包装 追评
__label__2 , 手机 失望 两个 经常出现 情况 别入 小心 后悔莫及
__label__1 , 操作 设计 得体 家里 老人 日常 需求 东西 手机 钢化 耳机
__label__2 , 刚买 降价 188 168 dog
__label__1 , 昨晚 十点 下单 第二天 早上 收到 收到 拆箱 试机 开箱 惊艳 机器 款式 好看 拿在手上 不重 开机 自带 win10 设置
__label__2 , 电脑 不到 一个月 风扇 噪音 两个 噪音 越来越 电脑 起热太快 提醒 过热 关机 时不时 开机 关机 长时间 半个 小时 关不了
__label__1 , 万元 性价比 建议 16gb 美滋滋
__label__2 , 手机信号 稳定 有时候 自动关机 手机
__label__2 , 坑人
__label__2 , 屏太窄 王者 不好 操作 喜欢 刘海 喜欢 手机
__label__2 , 垃圾 手机 没收 坑人 价格 保护 申请 差评
__label__2 , 翻新 电话 技术支持 过期 分辩率 拉圾
__label__2 , 买来 电量 百分百 触屏 清晰度 感觉 很差
__label__1 , 回来 衣服 质量 不错 晚上 舒服 快递 很快 很快 新衣
__label__1 , 老板 鞋子 质量 舒服 样子 时尚 满意 强烈推荐
__label__1 , OnePlus6 全速 旗舰 一加 忠实 粉丝 一加 怎可 错过 外观 一加 采用 6.28 刘海 抵触 拿到 手机 那一刻 深深 系统 两个 流畅 三个 666 手机 厂商 买手机 刻意 手机 性能 买过 品牌 手机 配置 表表 系统 OK 新机 发布 一加 始终 业界 良心 希望 一加 越做越 越走越远 京东 品质 值得 信赖 沉默寡言 比比 真的 魅力 挡不住 macr macr rdquo 一加 值得 拥有 京东 值得 信赖
__label__2 , 老公 女儿 儿子 全是 华为 第一次 华为 几千块 高端 一点 喜欢 款式 价格 便宜 在家 不到 半个 手机 毛病 带来 烦恼 微信 收到 微信 聊天 聊着 屏幕 不动 毛病 断断续续 关机 开机 恢复 微信 页面 实在 不想 手机 想换 一款 客服 只能 售后 郁闷
__label__2 , 京东 失望 手机 情人节 前帮 老婆 情人节 老婆 发觉 手机 屏幕 触屏 跳屏 死机 次品 机器 超过 天数 不让 315 打算 投诉
__label__1 , 不错 屏幕 按键 舒服 关键 功能 全了 性能 出色 性价比
__label__1 , 送货 速度 送货上门 服务
__label__2 , 京东 服务 越来越 喜欢 京东 自营 购物 喜欢 京东 送货上门 希望 京东 从前 送货上门
__label__2 , 中午 到货 半个 京东 真棒 qnmlgb 手机 发现 希望 一段时间 锤子 失望
__label__2 , 手机 太烂 几天 FM 收音机 杂音 充了 不到 用光
__label__2 , 满意 不到 半个 京东 降价 七天 内价保 差价 真是太
__label__2 , 垃圾 手机 沒用 垃圾 再也 不买 小米
__label__1 , 鞋子 质量 舒服
__label__1 , 蓝色 真的 好看 爸爸 喜欢 像素 感觉 降价 申请 价格 保护 真的 人性化 昨天 降价 差价
__label__2 , 垃圾 刚买 降价
__label__1 , 秒杀 终于 到手 没想到 十几块 手机 功能 强大 做工 品牌 家里 老人 合适
__label__1 , 舒服 大小 好吃 下次 还会
__label__2 , 价格 反复 恶心
__label__1 , 爸爸 喜欢
__label__2 , 一星 不想 电脑 反应迟钝 几次 客服 大半天 回复 电话 京东 死机 几次 客服 回复 憋屈
__label__1 , 质量 袜子 往下掉 不太 满意
__label__1 , 宝贝 收到 不错 喜欢 品牌 同事 说好
__label__1 , 办公 电脑 性能 不错 送货 宏基 品牌
__label__2 , 手机 自动 重启 售后 主板 超过 家里 一块 小米 手机 再也 不买 小米 拜拜 小米
__label__2 , 真心 不怎么样
__label__2 , 手机 用到 死机 开机 按键 失灵 手机 持续 发烫 京东 解决 方法 消费者 维权 几千 翻新 二手手机 欺骗 消费者 忽悠 消费者 京东 实在 奉劝 一句 购者 网上 东西 真的 太多假 服务
__label__1 , 赠品 不想 评论 好坏 赠品 评论 没京豆
__label__2 , 垃圾 垃圾 垃圾
__label__2 , 六千 垃圾 电脑 开个 酷狗 浏览器 360 不行 激活 京东 几年 购物 第一次 差评
__label__2 , 618 活动 入手 1349 赠品 价值 手机 不到 小时 降价 1199 赠品 手机 外加 保护膜 申请 价格 保护 价格 相差 150 元整 京东 客服 介入 保价 赠品 算进去 只能 111 块钱 理解 价格 保护 赠品 包含 降价 手机 赠品 更好 京东 给我发 一条 短信 手机 不通 短信 发进来
__label__2 , 手机 wifi 断流 三个 不好 触摸
__label__1 , 包装 评价
__label__2 , 开发票 京东 逃税
__label__2 , 手机 耗电 指示 按钮 灵活 卡住 一分钟 心塞
__label__2 , 
__label__1 , 显卡 技术人员 支持 点亮 主机 安装 风扇 总体 感觉 声音 很小 开机 很快
__label__1 , 失望 收到 迫不及待 合适 样式 好看
__label__1 , 外观 漂亮 速度
__label__1 , 褪色 夏天 真的 超级 凉快
__label__2 , 感觉 不行 刚买 降价 不爽
__label__1 , 鞋子 质量 舒适 做工 精细 卖家 服务态度 不错 走路 轻松 包装 完整
__label__1 , 运行 速度 不错
__label__2 , 牌子 打电话 听不见 爆炸 支持 国产 一分 不想 声明 职业 差评 师先 死个
__label__1 , 流行 款式 设计 新颖 独特 面料 柔软 舒适 上身 效果 不错
__label__1 , 预想 还好 价格 公道 谢谢
__label__2 , 屏碎 换个 屏要 400 易碎 真心 伤不起
__label__2 , 差评 希望 京东 东西 包装 简陋 快递 检查 外面 包装 完整 签收 发现 手机 外壳 划痕 急于 退换 购物 失望
__label__2 , 下单 日才 到货 打电话 没货 没货 下单 提示 收货 地址 更改 京东 服务 有待 提高
__label__1 , 质量 彩棉 太厚 供暖 家里 穿着 自营 物流 很棒
__label__2 , 手机 还好 配送 气死人 京东 次日 走向 忽悠 道路 超赞 京东 物流 无语 京东 糊涂 路上
__label__1 , 两次 开机 电脑 黑屏 第一次 京东 电子产品 怀疑 正品
__label__2 , 2999 入手 不到 两周 时间 降价 200 申请 价格 保护 降价 京东 失望 拒绝 京东
__label__2 , 手机 刚刚 到货 屏幕 动过手脚 手机 充电器 不到 老子 一颗 不想 评论 不到 东西 现象 举报
__label__1 , 有时候 不错 感觉 不亏 拿来 办公
__label__2 , 第一天 起球 我天 搞笑
__label__2 , 收到 闪存 最低
__label__2 , 烂货
__label__1 , 机器 steam 游戏 微卡 整体 不错 固态 硬盘 显示 系统 客服 耐心 解决 重启 自动识别 系统 正版 微软 办公 软件 没弄 整体 感觉 物有所值
__label__2 , 京东 手机 确实 当初 客服 快点 退货 岂有此理 好不容易 收到 手机 发现 屏幕 左下角 有个 小黑点 怀疑 退货
__label__1 , 这鞋 合脚 舒服 柔软 物美价廉 值得 拥有
__label__2 , 电脑 太慢 I5 CPU
__label__1 , 开机 速度 很快 送货 很快 满意
__label__2 , 垃圾 垃圾 不到 天玩 不到 小时 频繁 自动 死机 内存条
__label__2 , 电脑 开机 速度 推荐 购买 电脑屏幕 分辨率 朦胧 推荐 购买 刚买 电脑 运行 卡卡 停顿 现象 推荐 购买
__label__1 , 再评 邵阳市 没卖 钢化
__label__2 , 不想 裸机 变着 花样 东西 退货 早退 舒心 早就 消费者 东西 顾客 上帝 顾客 白痴
__label__1 , 老板 发货 速度 衣服 面料 柔软 上身 舒服 衣服 夏天 凉快 大小 合适 挺不错
__label__1 , 
__label__1 , 开机 很快 鼠标 主机 整体
__label__2 , 几十个 手机 第一次 原装 贴膜 还给 贴膜 弃醒 华为 手机 好多个 退货
__label__2 , 京东 套路 太深 三到 五天 系统 显示 保价 客服 客服 解释 一套 一套 无语 说句 客套话 两千个 京豆 一颗 星是 快递
__label__1 , 版型 透气 质量 客服 推荐 大小 正好
__label__2 , 不想 评论 买来 两个 办公 软件 办公 想想 估计 人会 选择 提醒 点点 实体店 半个 这家 一把 hellip hellip 脾气 不好
__label__1 , 手机 很漂亮 老公 老公
__label__2 , 刚买 电脑 不到 两天 打游戏 显示器 开机 半小时 后边 模糊 窗口 显示 一半
__label__2 , 棒棒 二手 二手 联系人 清空 最起码 二手
__label__2 , 一颗 不想 超级 商品 详情 说好 预装 Office 密钥 购买 文字游戏 客服 直接了当 激活 win 系统 退货 激活
__label__1 , 挺不错 没什么 毛病
__label__1 , 实用 发货 速度 很快 服务态度
__label__1 , 宝贝 收到 两天 wifi 感觉 整体 感觉
__label__2 , 特别 包装 简陋 gou 信任 gou 东连买 两个 手机 差评
__label__2 , 不好 不好 买过 手里 链接 无线 掉线 自动 连接 再也不会 努比亚
__label__1 , 希望 下次 给我发 圆通 商品 不错 物流 喜欢
__label__2 , 两个 苹果 苹果 手机 刮花 贴上去 手机 屏幕
__label__2 , 买回来 第一次 充电 充不上
__label__2 , 一个月 退货 毫不犹豫 一个月 工资
__label__2 , 铃声 支持 mp3 格式 差评
__label__1 , 朋友 去年 旗舰 没人接 降价 上车 结局 追评
__label__1 , 特意 一段时间 评论 总体 感觉 不错 性价比 好评
__label__1 , 电脑 轻薄 手感 适合 携带 办公 一段时间 再来 追评 顺丰 物流 超级 昨天中午 早上 上课 奈斯
__label__1 , 儿子 喜欢
__label__2 , 快递 没拿到 签收
__label__1 , 质量 还算行 不太 完美
__label__2 , 买回来 来天 摄像头 刮花 刮花 充电器 退货 不让 补发 充电器 差评 不想
__label__2 , 供应商 卖假 手机 回答 我求 退货 到手 手机 会发 次品 手机 供应商 卖假 手机 回答 我求 退货 到手 手机 会发 次品 手机 供应商 卖假 手机 回答 我求 退货 到手 手机 会发 次品 手机 供应商 卖假 手机 回答 我求 退货 到手 手机 会发 次品 手机 第一次 华为 感觉 服务态度
__label__1 , 之外 完美 办公 编程 轻度 游戏 最佳 之选 腾讯 巨头 dnf lol cf 玩起来 自带 office 舒服
__label__1 , 不错 待机时间 快递 挺快
__label__2 , WIFI 信号 转圈 蜜汁 闪退 唯一 优点 便宜
__label__2 , 手机 压根 讲究 手机 购买 手机 拍照 功能 手机 功能 反正 坑货
__label__2 , 差评 手机 母亲 刚买 第二天 赠品 耳机 活动 不想 天无 理由 接盘 二手 补发 赠品 店铺 压根 人理
__label__1 , 男朋友 喜欢 很漂亮 一双 试穿 舒服 点赞 亲们 赶紧 下手 愿贵店 生意 越来越
__label__2 , 屏幕 玩游戏 不行
__label__1 , 衣服 收到 真的 满意 上传 效果 特别 帅气 喜欢
__label__1 , OK
__label__2 , 实在 店铺 两个 之内 两台 第二次 价格 付费 还贵 500 太差 体验
__label__1 , 不错 低配 高价 产品
__label__2 , 开心 指纹 解锁 有时候 解锁 有时候 说好 湿手 解锁 不想 差评 客服 无奈
__label__1 , 衣服 好看 商家 推荐 尺码 刚刚
__label__1 , 鞋子 收到 试穿 大小 合适 质量 挺不错
__label__2 , 发票 愉快 购物
__label__1 , 面料 吸汗 天穿 正好
__label__1 , 样式 不错 码子
__label__2 , 玩游戏 屏幕 蓝色 一秒 评论 卡住 息屏 没用 重启 外观 手握 感给 五星
__label__2 , 差评 拉极 拉极刚 买来 还行 王者 一段 操作 失灵 耳机 自动 调音 王者 一局 一局 血站 一个多月 手机 小米
__label__2 , 手机 开机 屏幕 红线
__label__1 , 鞋子 店家 一号
__label__2 , 草接 微信 自动 挂断 取消
__label__1 , 东西 不错 2199 128G 还行
__label__1 , 质量 色差 料子 穿着 好看
__label__2 , 太差 东西
__label__1 , 不错 大小
__label__2 , 信号 信号 搞不好 手机 坚果 一台 坚果 两台 吊样 手机 废物
__label__2 , 质量 屏幕
__label__2 , 一个多月 评价 快递 之外 不行 内存 后悔
__label__2 , 京东 服务商 几天 降价 一台 裸机 垃圾 关键 电脑 性能 不怎么样 指纹 没用 散热 垃圾 傻币 网站
__label__2 , 刚买 降价 赠品 差价 京东 真的 越来越 后悔 会员
__label__1 , 
__label__1 , 快递 很快 硬盘 换个 2t 好点
__label__2 , 这款 手机 满意 质量 手机 外壳 分辨率 特别 像素 特别 拥有 国产 低端 手机 特征 徒有 虚表 豆腐渣 耳机 不配 赠品 购买 谨慎
__label__1 , 电脑 收到 京东 物流 很快 收到 后验机 娱乐 大师 娱乐 外表 酷炫 喜欢 性能 更是 没得说 杠杠 180 男人 电脑 重量 质感 踏实
__label__2 , 好久 气氛 电脑 忙活 半天 软件 不到 一周 黑屏 开机 京东 客服 推说 联想 客服 解决 联想 客服 却说 技术 部门 解决 技术 部门 解决不了 联想 客服 兜兜 转转 一圈 回到 原点 时间 品牌 做生意 京东 最差 体验 解决 不好 打算 京东 联想 东西 消费 推来推去
__label__1 , 牛仔裤 好看 质量 舒服 材质
__label__1 , 喜欢 太贵 入手 喜欢 续航 超级 屏幕 看着 舒服 游戏 值得 入手 综合性 强悍
__label__2 , 京东 大件 二手 唯一 优点 速度 原价 保价 打折 保价 规则 消费者 当回事 一点 补偿 诚意 大件 建议 二手
__label__2 , 差超差 一条 星期 收到
__label__1 , 东西 实用 下次
__label__1 , 暖和 南方 冬天 孩子 磨毛
__label__1 , 电子产品 京东
__label__1 , 物流 速度 买来 发现 运行 速度 很快 至少 腾讯 手游 毛病 拍照 人脸识别 很快 唯一 外放 声音 手机 震动 原谅 耳机 发现 几天 评价 一加 很赞
__label__2 , 到手 两天 电池电量 不行 屏幕 白线 明明 内屏 换机 保修 一来一去 买来 手机 扔回 厂家
__label__2 , 手机 信息 自动 电话
__label__1 , 喜欢
__label__1 , 真心 满意 布料 小意思
__label__1 , 收到
__label__2 , 信号 不好 接听 断断续续 声音 信号 显示 满格 播放 视频 有时候 声音 关掉 开才 声音 电池 耐用 一冲 唯一 亮点 外观 好看 老婆 没用
__label__1 , 轻松 舒服
__label__2 , 刚到 手机 贴膜 客服 人理 手机
__label__1 , 下次 还会
__label__2 , 这是 快充 充电 小时 不到 手机 我醉
__label__2 , 想象 面料 单薄 带有 一股 不明 臭味 包装 差劲
__label__1 , 电脑 质量 不错 速度 一段时间 喜欢 值得 推荐
__label__1 , 第一次 上船 物流 速度 很快 第二天 收到 仔细 细节 颜值 适合 性能 入手 颜控 路过 特别 要说 电源适配器 特别 发现 电池 处有 磕痕 好怕 手机 打开 发现 新机 虚惊一场 发现 软件 打开 清晰 也许 习惯 观差 看着 总体 一段时间 希望 不沉
__label__2 , 鞋子 实体店 防滑 打滑 很大 玩意儿 消费者
__label__2 , 说实话
__label__2 , 几天 屏幕 失灵 信号 不好 点卡
__label__2 , 效果 包装 纸箱 还用 下图 卡槽 划手 华为 质检员 检测 担心
__label__1 , 收到 宝贝 物流 很快 客服 态度 满意 购物
__label__2 , 半个 黑屏 发票
__label__2 , 打开 迟钝
__label__1 , 帅气 十足 鞋子 喜欢 穿着 舒服
__label__1 , 商家 信营 不错 朋友 推荐 鞋子 质量 穿着 舒服 真的 一家 不错 店铺 值得 收藏
__label__1 , 老爸
__label__1 , 质量 不错 材质 很喜 性价比
__label__1 , 白色 鞋子 正品 可惜 买大 一号
__label__1 , 宝贝 收到 质量 透气 效果 夏天 特别 凉爽 舒服 喜欢 客服 态度 满意 购物
__label__2 , 赠品 差评
__label__2 , 太不给力 手机
__label__1 , 裤子 不错 图片 一模一样 喜欢
__label__1 , 裤子 下水 褪色 起球 配上 好看 潮流 喜欢
__label__2 , 裤子 收到 压根 不值 线头 慎重考虑
__label__2 , 机子 翻叶键 缺少 键盘 不好
__label__2 , 说实话 宣传 新手机 返回 电池 不想 3400 京东 东西 差评 第一次 华为 第一次 京东 差评 多年 魅粉 失望 失望 hellip hellip
__label__1 , 性能 不错 性能 不错
__label__2 , 办公 电脑 光驱 超级 麻烦 链接 打印机
__label__1 , 第二次 envy 一款 轻薄 颜色 设计 很漂亮 第一次 APU 性能 暂时 感受 发热 稍微 键盘 布局
__label__2 , 色差
__label__1 , 电脑 不错 性价比
__label__2 , 刚买 400 手机 耗电量 很大 发热 微信 聊天 手机 发烫 对华 失望
__label__2 , 商品 正品 hellip hellip 吐槽
__label__2 , 充电 显示 细小 划痕 感觉 一台 二手 电脑 昨天 回来 蓝屏 全智能 保修卡 希望 不到 京东 体验 稍后 回去 图片
__label__2 , 255 三等奖 整体 感觉 一般般 像机 摄像头 水平 下单 三四天 不知 手机 抢手 饥饿 营绡
__label__1 , 宝贝 质量 不错 喜欢 下次 卖家 服务态度 不错
__label__2 , 一颗 不想 233333 垃圾 半个 板坏 垃圾 卖家 主板 只能 一脸 蒙逼
__label__1 , 用户 未填写 评价 内容
__label__2 , 半个 手机 机了 原因
__label__1 , 衣服 质量
__label__2 , 一分 快递 运输 图片 键盘 发现 广告 图片 一堆 小字 键盘 自营 不想 废物 自营
__label__1 , 合适 物流
__label__2 , 坑人 内存 缩水 标的 32G 23G
__label__1 , 电脑 页面 有点像 平板 样子 好看 小巧 适合 女生 牌子 家里 电脑 牌子
__label__2 , 次品 舒服 烂掉
__label__2 , 收到 那條 褲子 拉圾 貨不對 還大 那麼 坑人
__label__2 , 一月 天马 屏幕 送过来 外面 包装 袋子 没什么
__label__2 , 真的 很差 售后 接电话 机子 回去
__label__1 , 电脑 不错 小巧 颜值 性价比 关键 正版 系统 好评
__label__2 , 藏青 170 尺码 黑色 170 尺码 能换 hellip hellip
__label__2 , 说实话 京东 恶心 刚买 降价 通知
__label__1 , 不错 信号 特别
__label__2 , 手机 耳机
__label__1 , 老板 送给 客户
__label__2 , 这是 东西 开机 十次 屏幕
__label__1 , 手机 很漂亮 物流 很快 快递 服务 手机 没用 孩子 一用 评价
__label__2 , 通话质量 千万别 备用机 合格
__label__2 , 手机 显示 来电 设置 振动 振动 客服 最新 系统 振动 恢复 出厂 设置 麻烦 恢复 出厂 设置
__label__1 , 好看 舒服
__label__1 , 系统 流畅 显示屏 不错 指纹识别 很烂 识别 不错 价位 电脑 表现
__label__2 , 差劲 购物 电脑 收到 发现 凹痕 商家 支持 退货 一颗 强烈建议 这家 购买 电脑
__label__1 , 光顾 一分 价钱 一分货
__label__1 , 电脑 发热 电池 耐用 还行 反正 不亏 新年 老板 生意兴隆
__label__1 , 手感 特别 大气
__label__1 , 不错 张膜
__label__1 , 半个 评价 总体 感觉 办公 玩游戏 电视 办公 电脑 充电器 很小 总体 不到 三斤 背着 电脑 上班 一点 不累 速度 一点 网页 太多 点点 还好 比较满意 音质 听听 舒服 要说 客服 真的 棒棒 客服 小兮 耐心 咨询 喜欢 超薄 一款 颜色 实体
__label__1 , 手机 不错 屏幕 满意
__label__2 , 我得 差评 投诉 京东 官方 客服 京东 官方 客服 售后服务 真的 买前 买后 申请 京粉 地址 收到 要说 地址 详细 没收 最火 官方 客服 问来问去 推来推去 手机 续航 太行 手机 自带 杀毒软件 照片 恢复 音量 苹果 手机 像素 喜欢 真实 没太多 美颜 美颜 调节 相机 技能 看不懂 hellip 嘻嘻 手机 内存 128G 实用 116G 可怕 两个 手机套 充电 最快 小时 小米 一加 犹豫 hellip 说真的 手机 打游戏 hellip 声道 外放 单声道 打游戏 外放 真的 当初 耳机 传统 耳孔 没得 hellip 京东 客服 眼瞎 有过 遭遇 售后服务 真的 有望 跟进 hellip
__label__2 , 手机 差劲 Z1 一段时间 双卡 显示 4G 状态 电话 电话卡 换到 手机 拨打 上网 Z1 部手机 上缺 我卡 电信卡 部手机 宣传 新手机 到手 上网卡 拨号 说到底 手机 到手 亏死
__label__1 , 感谢 商家 质量 不错 没用
__label__2 , 垃圾 真的 退掉 真不该 后悔 半个 莫名其妙 自动 重启 几次 刚刚 玩个 王者 荣耀 自动关机 重启 关键 进不了 软件 王者 进不了 进不来 初始 页面 不到 主页 客服 恢复 出厂 设置 半个 我破 小米 一年 多才 恢复 实在 太卡
__label__1 , 昨天晚上 下单 早就 超级 满意 开机 上网 速度 很快 唯一 满意 有线 键盘 鼠标 客服 耐心 答应 无线 键盘 鼠标 值得 信赖 商家
__label__2 , 不到 一个月
__label__1 , 这件 减龄 细节 面料 舒服 上身 显瘦 百搭
__label__1 , 符合 购买 时多 商品 需求 外观 配置 心意
__label__2 , 发热 代码 最小化 浏览器 打开 浏览器 一会 打开 软件 超慢
__label__1 , 开机 很快 顺畅 不错 购物 鼠标 键盘 谢谢
__label__1 , 很久没 称心如意 鞋子 超级 舒服 轻便 一双 鞋子 夏天 捂脚 价格 便宜
__label__1 , 手机 不错 价格 性价比 妈妈 外观 漂亮
__label__1 , 主机 声音 散热 好比 实体店 便宜
__label__1 , 白色 干净 尺寸 合适 有时候 儿子 上课 希望 屏幕 正合适 连上 wifi 速度 预装 办公 软件 开机 整体 感觉 价格 正好 618 价格 希望 很快 降价 喜欢
__label__2 , 手机 拿到 开机 我爸 手机店 老板 电池 坑人 发了 台坏 手机 在家 导致 退货 气死人
__label__1 , 侄子 高考 礼物 喜欢 屏幕 颜色 性价比
__label__2 , 想象 实物 图片 一点
__label__2 , wifi 连不上 到手 一周 不到 连不上 提示 密码 气死
__label__2 , 半个 不到 京东 手要 2200
__label__2 , 刚买 周就降 2000 申请 保价 保价 保价 太坑
__label__1 , 鞋子
__label__2 , 小米 京东 收到 电脑 打电话 客服 回复 再试 京东 作出 解释 怎么回事
__label__1 , 发货 速度 很快 包装 完整 调试 运行 支持
__label__1 , 穿着 舒服 不伤 价格便宜
__label__2 , 差评 京东 平台 忽悠 金色 付款 显示 缺货 回货 只能 退货 改买 黑色 优惠券 郁闷 再也 京东 买点 东西
__label__1 , 耐看 质感 尺码 标准 舒服 太软 太硬 挤脚 性价比 蛮高
__label__2 , 亏了 标准 翻新 手机 口袋 不用 下班 没电 翻新 机都 舍得 换个 电池 失望 自营 商品 还敢
__label__2 , 手机
__label__1 , 宝贝 还好 老公 喜欢 物流 很快
__label__1 , 快递 真的 晚上 十一点 下单 第二天
__label__2 , 老妈 自动关机 自动开机 tm
__label__1 , 物流 速度 很快 电脑 性能
__label__1 , 宝贝 收到 不错 孩子 喜欢 五星
__label__2 , 做工 粗糙 穿着 舒服 磨破 看着 正品 退货 感觉 上当 朋友 谨慎 购买
__label__1 , 发货 挺快 收货 质量 色差
__label__1 , 喜欢 感觉 很棒
__label__1 , 卖家 描述 完全一致 满意
__label__2 , 垃圾 手机 游戏 体验 垃圾 要死
__label__2 , 拿到 手机 一周 晚上 吓死 睡觉 手机 插上 充电 睡着 听见 一声 发出 一阵 烧焦 味道 充电器 短路 刚用 几天 听见 着火 万一出 事故 手机 充电器 影响 原配 充电器
__label__1 , 惊艳 电脑 速度 爽威威
__label__1 , 衣服 已收 包装 过后 评价 满意
__label__1 , 手机 喜欢 下次 还会 再会 购机
__label__2 , 显示 赠送 耳机 到货 多花 希望 能用
__label__1 , 预想 速度 点化 速度 如飞 值得 推荐 购买
__label__1 , 手机 评价 缺点 触控 不准 地方 地方 屏幕 太差 质量 不好 像是 便宜 2200 手机 失望 用电 偏快 至少 两冲 玩游戏 平时 看抖音 充电 小时 四十分钟 冲好 游戏 真的 很快 X21 处理器 最赞 图三 我进 游戏 第一个 苹果 差一 像素 前置 后置 不错 价钱 很棒 算算 手机 外屏 内屏 快充 摄像头 手机 机身 电池 差别 几个 就值 一千 手机 不值 多花 一千块 犹豫 斟酌 只在乎 处理器 接受 华为 nova2plus 手机 完胜 买成 2999 华为 不划算 快充 屏幕 手机 完胜 华为 华为 摔烂 看清 手机 东西 处理器 够用
__label__1 , 好看 冬天 收货 没发
__label__2 , 心情 评论 真心 不怎么样 一个多月 手机 重启 手机
__label__2 , 很差 多年 第一次 鞋底 穿断 商品 不行 运气 不好 开心
__label__1 , 鞋子 收到 商品 不错 舒服 习惯 不错 质量 价格 便宜 正品 谢谢
__label__1 , 轻便 下次 光顾
__label__1 , 衣服 收到 色差 大小 合适 质量 耐看 满意
__label__2 , 手机 两处 刮伤 机头 位置 毫米 油漆 均匀 估计 刮伤 机身 正面 左侧 毫米 刮伤 中午 半左右 收到 外包装 签收 电信 切卡 发现 机头 处有 刮伤 仔细检查 机身 左侧 刮伤 客服 沟通 询问 方案 退回去 邮寄 退货 麻烦 手机 软件 齐全 绑定 网银 大卡 切成 小卡 换机 咋办 询问 解决 方式 补偿 唯一 优点 影响 没法子 只能 差评
__label__2 , 货在 路上 贬值 十块钱 我要 差评 坑人
__label__2 , 没用 几天 充电 质量 太差
__label__2 , 垃圾 售后 刚买 我要 退货 鉴定 评分 垃圾 京东 下次 京东 东西 七天 理由 退换货 承诺
__label__1 , 送货 速度 快递 热情 有礼
__label__1 , 不错
__label__1 , 两天 王者 杠杠
__label__1 , 几天 终于 到手 京东 自营 购买 手机 包装 完好 送货 快速 第二次 购买 手机 第一次 64G 买个 64G 送给 老婆 生日礼物 价格 外观 颜值 没得说 颜色 清新 亮丽 操作 便利 功能丰富 实用 一抹 浅艾蓝 值得 拥有
__label__2 , 手机 几次 体验 极差 心情 郁闷 退货 不送 消费者 差劲
__label__2 , 外观 好看 游戏卡 意料之中 手机 发热
__label__1 , 颜色 很漂亮 穿着 合脚 喜欢
__label__2 , 到货 手机 盒子 手机 听到 声音 买来 第二天 王者 荣耀 卡死 QQ 卡死 用电
__label__1 , 宝贝 特别 穿上去 特别 好看
__label__1 , 裤子 收到 大小 合适 还会
__label__1 , 老爸 老爸 喜欢
__label__1 , 华硕 品牌 散热 不太好
__label__2 , 新买 星期 发现 手机 充电 只能 百分之八十 一会 再充 客服 取件 很快 检测 星期 毛病 没换 公司 三年 毛病 电池 不经用 苹果 质量 越来越 售后服务 越来越 敷衍 客户 懒得 客服 星期 解决 包装 拿来 五六千 买个 满意 买个 国产 至少 三个
